id,trial,avg_dis,width,difficulty_idx,avg_time
gg,1,631.82,92,2.98,628
gg,2,310.6,185,1.42,439.9
gg,3,880.2,185,2.53,558
gg,4,553,277,1.58,564.6
gg,5,359.9,277,1.2,384.6
gg,6,1007.1,92,3.58,655
gg,7,585.6,185,2.06,478.1
gg,8,761,277,1.91,583.3
gg,9,261,92,1.94,506.3
xoxo,1,796.32,277,1.95,457.18
xoxo,2,991,92,3.56,651.4
xoxo,3,327.2,277,1.13,453.1
xoxo,4,606.4,185,2.1,474.8
xoxo,5,636.1,92,2.98,623.3
xoxo,6,269.6,92,1.97,544.6
xoxo,7,303.5,185,1.4,519.6
xoxo,8,891.9,185,2.54,564.9
xoxo,9,563.9,277,1.6,434.7
